query_id,query,label
P180,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q702842> .
	?x1 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q90> .
}",0
P181,"SELECT * WHERE {
	<http://www.wikidata.org/entity/Q3501742> <http://www.wikidata.org/prop/direct/P106> ?x1 .
	?x1 <http://www.wikidata.org/prop/direct/P279>* ?c815 .
	?c815 <http://www.wikidata.org/prop/direct/P425> ?x2 .
}",1
P182,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x2 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q108106> .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q56061> .
}",0
P183,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q23794244> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P184,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q994059> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P186,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P19> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c235 .
	?c235 <http://www.wikidata.org/prop/direct/P279>+ <http://www.wikidata.org/entity/Q82794> .
}",0
P187,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x4 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q1055> .
	?x4 <http://www.wikidata.org/prop/direct/P150> ?x2 .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q387917> .
}",0
P188,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q3231690> .
	?x1 <http://www.wikidata.org/prop/direct/P31>* <http://www.wikidata.org/entity/Q3231690> .
}",0
P189,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q20202327> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P190,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q39715> .
	?x2 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q55> .
}",0
P191,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P18> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c192 .
	?c192 <http://www.wikidata.org/prop/direct/P279>+ <http://www.wikidata.org/entity/Q2095> .
}",0
P192,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q1194951> .
	?x1 <http://www.wikidata.org/prop/direct/P641>* <http://www.wikidata.org/entity/Q3609> .
}",0
P193,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q28733563> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P195,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P50> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c443 .
	?c443 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q18918145> .
	?x2 <http://www.wikidata.org/prop/direct/P31> ?c860 .
	?c860 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q729> .
}",0
P196,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q3582579> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P197,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P2268> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q5> .
	?x1 <http://www.wikidata.org/prop/direct/P106> ?c409 .
	?c409 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q483501> .
}",1
P198,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P129> ?x2 .
	?x3 <http://www.wikidata.org/prop/direct/P2293> ?x4 .
	?x4 <http://www.wikidata.org/prop/direct/P688> ?x2 .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q29496> .
}",0
P199,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q481075> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P200,"SELECT * WHERE {
	# ?x1 <http://www.wikidata.org/prop/direct/P625> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P131>+ <http://www.wikidata.org/entity/Q1741> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c567 .
	?c567 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q173387> .
}",1
P201,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P161> <http://www.wikidata.org/entity/Q14468873> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c560 .
	?c560 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q11424> .
}",1
P202,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c254 .
	?c254 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q3918> .
}",0
P203,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P625> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q84> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c956 .
	?c956 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q3918> .
}",0
P204,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x4 <http://www.wikidata.org/prop/direct/P150> ?x2 .
	?x4 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q54939> .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q56061> .
}",0
P205,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P225> ?x4 .
	<http://www.wikidata.org/entity/Q185230> <http://www.wikidata.org/prop/direct/P171>* ?x1 .
}",0
P206,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q29875661> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P207,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P180> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P18> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c356 .
	?c356 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q3305213> .
	?x2 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q34379> .
}",0
P208,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q34644785> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
