query_id,query,label
P180,"SELECT * WHERE {
	?x1 <instance of> <municipal arrondissement> .
	?x1 <located in the administrative territorial entity>* <Paris> .
}",0
P181,"SELECT * WHERE {
	<Stéphane Dujarric> <occupation> ?x1 .
	?x1 <subclass of>* ?c815 .
	?c815 <field of this occupation> ?x2 .
}",1
P182,"SELECT * WHERE {
	?x1 <located in the administrative territorial entity> ?x2 .
	?x1 <instance of> ?x3 .
	?x2 <located in the administrative territorial entity>* <Santa Barbara County> .
	?x3 <subclass of>* <administrative territorial entity> .
}",0
P183,"SELECT * WHERE {
	?x1 <ISO 3166-2 code> ?x2 .
	<Mittlerer Schwarzwald> <located in the administrative territorial entity>* ?x1 .
}",0
P184,"SELECT * WHERE {
	?x1 <ISO 3166-2 code> ?x2 .
	<Brunsberg> <located in the administrative territorial entity>* ?x1 .
}",0
P186,"SELECT * WHERE {
	?x1 <place of birth> ?x2 .
	?x1 <instance of> ?c235 .
	?c235 <subclass of>+ <geographic region> .
}",0
P187,"SELECT * WHERE {
	?x1 <located in the administrative territorial entity> ?x2 .
	?x1 <instance of> ?x3 .
	?x4 <located in the administrative territorial entity>* <Hamburg> .
	?x4 <contains the administrative territorial entity> ?x2 .
	?x3 <subclass of>* <administrative divisions of Germany> .
}",0
P188,"SELECT * WHERE {
	?x1 <instance of> <automobile model> .
	?x1 <instance of>* <automobile model> .
}",0
P189,"SELECT * WHERE {
	?x1 <ISO 3166-2 code> ?x2 .
	<Immeuble, 11 place du Parlement (Rennes)> <located in the administrative territorial entity>* ?x1 .
}",0
P190,"SELECT * WHERE {
	?x1 <located in the administrative territorial entity> ?x2 .
	?x1 <instance of> <lighthouse> .
	?x2 <located in the administrative territorial entity>* <Netherlands> .
}",0
P191,"SELECT * WHERE {
	?x1 <image> ?x2 .
	?x1 <instance of> ?x3 .
	?x1 <instance of> ?c192 .
	?c192 <subclass of>+ <food> .
}",0
P192,"SELECT * WHERE {
	?x1 <instance of> <national sports team> .
	?x1 <sport>* <road bicycle racing> .
}",0
P193,"SELECT * WHERE {
	?x1 <ISO 3166-2 code> ?x2 .
	<Gemeinde- und Zentralbücherei Seevetal-Meckelfeld> <located in the administrative territorial entity>* ?x1 .
}",0
