query_id,query,query_type,label
1,"What information is available about the movie ""The Shaggy Dog"" on Wikidata, including its Commons category?",opts,-1
2,"What are the family name, date of birth, place of birth, date of death, and place of death of Australian rules football players?",opts,-1
3,"What are the dates of birth, places of birth, genders, and coordinate locations of individuals who are members of the political party Alternative for Germany?",opts,-1
4,"Which painters have a father who is also a painter, and are they human? If applicable, who is their mother?",opts,-1
5,What are the male ski jumpers from Poland and their personal information?,opts,-1
6,"What are the details of male ski jumpers from Poland, including their place of birth, image, date of birth, mass, personal best, height, and coordinate location?",opts,-1
7,"What are the male Polish ski jumpers including their place of birth, image, date of birth, personal best, height, and coordinate location?",opts,-1
8,"What male ski jumpers from Poland have information on their place of birth, date of birth, personal best, height, and coordinate location?",opts,-1
9,"What are the details of male ski jumpers, including their place of birth, image, mass, personal best, height, and coordinate location if available?",opts,-1
10,"What male ski jumpers have information available about their occupation, place of birth, image, country of citizenship, date of birth, mass, personal best, height, and coordinate location?",opts,-1
11,What mathematicians from the Kingdom of France have information about their country of citizenship and date of birth?,opts,-1
12,"What economists from Brazil are human and what is their gender, if available?",opts,-1
13,What are the inventors' names and who discovered or invented their inventions?,opts,-1
14,"What are the names, birthplaces, and coordinates of individuals who are associated with football?",opts,-1
15,"What are the identities of female visual artists with their corresponding IDs from National Gallery of Victoria, Tate, Artnet, and Art UK?",opts,-1
16,What female actors speak Hindi and where were they born?,opts,-1
17,What are the male athletes with their coordinates and optionally their images and birthplaces?,opts,-1
18,What are the given names of writers on Wikidata?,opts,-1
19,What singers and songwriters were born after a composer and when were they born?,opts,-1
20,"What is the occupation of a person whose birthplace is India and place of death is Mumbai, and optionally, when were they born?",opts,-1
21,What female authors were human?,opts,-1
22,Find all pianists with their date of birth (if available).,opts,-1
23,What philosophers were born in France?,opts,-1
24,"What is the list of philosophers born in France, along with their dates of birth and death if available?",opts,-1
25,What are the images of female chemists born in a specific location and their coordinate locations?,opts,-1
26,"What female chemists have an image, date of birth, date of death, and coordinate location on Wikidata?",opts,-1
27,What female chemists were born in a specific location with their date of birth and coordinates available?,opts,-1
28,"What is the birthplace and location of female chemists, as well as their date of birth and optional image?",opts,-1
29,"What female chemists from the United Kingdom were born with an image, date of birth, place of birth, and coordinates of birth available?",opts,-1
30,"What are the names of female chemists from Israel who were born in a specific location with their birth date and image as additional information, if available?",opts,-1
31,What female chemists have an image and a place of birth with coordinate location in Wikidata?,opts,-1
32,"What female chemists who are humans have an image, date of birth, place of birth, and coordinate location on Wikidata?",opts,-1
33,"What female chemists have a coordinate location and optionally have an image, place of birth, and date of birth listed on Wikidata?",opts,-1
34,"What female chemists have a coordinate location, image, and place of birth on Wikidata?",opts,-1
35,"What female chemists have a coordinate location and optionally have an image, date of birth, and place of birth?",opts,-1
36,"What are the images, dates of birth, and places of birth with coordinate locations of female chemists?",opts,-1
37,"What are the names of female computer scientists and their respective place of birth coordinates and images, if available?",opts,-1
38,What is the gender of politicians who are also Members of the 5th Scottish Parliament and have a known place of birth and image?,opts,-1
39,"What politicians from Germany have information on their languages spoken, written or signed, given name, family name, place of birth, date of birth, native language, and name in native language?",opts,-1
40,"What are the names of politicians who were members of the 5th Scottish Parliament, along with their gender, place of birth coordinates, and images (if available)?",opts,-1
41,What politicians have fathers who are also politicians?,opts,-1
42,"What are the languages spoken, written, or signed by politicians and what is their gender?",opts,-1
43,"What is the occupation of politicians and what ethnic group do they belong to, if available?",opts,-1
44,What politicians have held a position and what is their country of citizenship?,opts,-1
45,"What politicians have held positions, their country of citizenship, relatives, siblings, parents, children, and date of birth?",opts,-1
46,"What politicians have positions, country of citizenship, date of birth, and start time of their positions in Wikidata?",opts,-1
47,What are the occupations of politicians with their date of birth (if available)?,opts,-1
48,What are the names of association football players from Chile and their exact coordinates?,opts,-1
49,"What are the details of association football players who are human, including their gender, birth name, and country of citizenship, if available?",opts,-1
50,"What are the occupations, gender, birth names, and countries of citizenship of association football players in Wikidata?",opts,-1
51,What occupations do humans hold on Wikidata and do they currently hold any positions?,opts,-1
52,What are the occupations of the people in Wikidata and do they have images associated with their occupation?,opts,-1
53,What is the population and area (if available) of the entity in Wikidata?,opts,-1
54,"What is the maximum capacity and location of association football clubs with their coordinate locations and optional home venue, logo image, and country information?",opts,-1
55,"What are the atomic numbers, element symbols, discoverers, and locations of discoverers of all chemical elements on Wikidata?",opts,-1
56,"What are the atomic numbers, element symbols, discoverers/inventors, places of birth and coordinate locations of chemical elements?",opts,-1
57,"Which humans are employed by Stanford University, and what are their ISNI identifiers if available?",opts,-1
58,"What is the signature, GTAA ID, date of birth, place of birth, date of death, place of death, and occupation of the entity?",opts,-1
59,"What are the home venues with their coordinate locations of association football clubs, along with their countries and continents?",opts,-1
60,"What is the handle ID, creator, VIAF ID, inception, and coordinate location of items that are part of the Welsh Landscape Collection in Wikidata?",opts,-1
61,What are the file extensions of file formats on Wikidata and their corresponding media types and names (if available)?,opts,-1
62,"What are the details of humans who died in accidents, including their date of birth, date of death, sex or gender, and manner of death?",opts,-1
63,"What is the manner of death for humans, including their gender, if known?",opts,-1
64,What humans are buried at Ostfriedhof Aachen and do they have a Find a Grave memorial ID or an image of their grave?,opts,-1
65,"What are the names of humans buried at the Ostfriedhof Aachen and do they have any Find a Grave memorial IDs, coordinates, or images of their graves?",opts,-1
66,What businesses are owned by someone or some entity?,opts,-1
