,query_id,exec_n,exec_time,results
0,P365,0,0.03453993797302246,
1,P365,1,0.005319833755493164,
2,P365,2,0.004695892333984375,
3,P365,3,0.003976583480834961,
4,P376,0,0.03084564208984375,
5,P376,1,0.006760120391845703,
6,P376,2,0.0050847530364990234,
7,P376,3,0.0050907135009765625,
8,P230,0,295.5050473213196,
9,P230,1,246.68196487426758,
10,P230,2,246.28066158294678,
11,P230,3,247.9352126121521,
12,P239,0,10.178748607635498,
13,P239,1,6.0339884757995605,
14,P239,2,6.378678321838379,
15,P239,3,5.845535755157471,
16,P226,0,4.438514471054077,
17,P226,1,1.1554880142211914,
18,P226,2,1.07358717918396,
19,P226,3,1.1681327819824219,
20,P295,0,0.03562664985656738,
21,P295,1,0.005350828170776367,
22,P295,2,0.0036253929138183594,
23,P295,3,0.0032274723052978516,
24,P364,0,0.06713581085205078,
25,P364,1,0.03238654136657715,
26,P364,2,0.03108811378479004,
27,P364,3,0.03292346000671387,
28,P184,0,0.007915258407592773,
29,P184,1,0.004395246505737305,
30,P184,2,0.0033915042877197266,
31,P184,3,0.0032668113708496094,
32,P357,0,34.484949588775635,
33,P357,1,30.14138698577881,
34,P357,2,30.68831181526184,
35,P357,3,30.22239923477173,
36,P304,0,0.05492734909057617,
37,P304,1,0.005955696105957031,
38,P304,2,0.00444793701171875,
39,P304,3,0.0035865306854248047,
40,P355,0,3.4436521530151367,
41,P355,1,0.008348464965820312,
42,P355,2,0.003459453582763672,
43,P355,3,0.002826213836669922,
44,P385,0,1.0281572341918945,
45,P385,1,0.8612082004547119,
46,P385,2,0.8701627254486084,
47,P385,3,0.9257302284240723,
48,P206,0,0.013244152069091797,
49,P206,1,0.004301786422729492,
50,P206,2,0.003561258316040039,
51,P206,3,0.0028841495513916016,
52,P335,0,17.294662475585938,
53,P335,1,15.292333364486694,
54,P335,2,18.01842188835144,
55,P335,3,14.780132293701172,
56,P367,0,0.0710599422454834,
57,P367,1,0.007431507110595703,
58,P367,2,0.004381418228149414,
59,P367,3,0.003809690475463867,
60,P378,0,0.04958462715148926,
61,P378,1,0.006968975067138672,
62,P378,2,0.005269289016723633,
63,P378,3,0.004160404205322266,
64,P245,0,11.303311586380005,
65,P245,1,1.8003675937652588,
66,P245,2,1.7953007221221924,
67,P245,3,1.754847526550293,
68,P225,0,1.938117504119873,
69,P225,1,1.7848854064941406,
70,P225,2,1.7558903694152832,
71,P225,3,1.6604506969451904,
72,P345,0,29.65864396095276,
73,P345,1,27.976606607437134,
74,P345,2,28.071935653686523,
75,P345,3,27.386911869049072,
76,P268,0,0.4035007953643799,
77,P268,1,0.28314900398254395,
78,P268,2,0.28040504455566406,
79,P268,3,0.28244519233703613,
80,P298,0,0.0218203067779541,
81,P298,1,0.008077859878540039,
82,P298,2,0.007368803024291992,
83,P298,3,0.0069427490234375,
84,P400,0,68.24781608581543,
85,P400,1,54.33303356170654,
86,P400,2,54.61312532424927,
87,P400,3,62.49600100517273,
88,P358,0,12.708983898162842,
89,P358,1,6.34171199798584,
90,P358,2,6.361967325210571,
91,P358,3,6.375854969024658,
92,P348,0,2.157102346420288,
93,P348,1,0.3497805595397949,
94,P348,2,0.3510477542877197,
95,P348,3,0.3526289463043213,
96,P352,0,0.009006738662719727,
97,P352,1,0.005593299865722656,
98,P352,2,0.004331350326538086,
99,P352,3,0.0044476985931396484,
100,P277,0,0.05797886848449707,
101,P277,1,0.012393474578857422,
102,P277,2,0.011320114135742188,
103,P277,3,0.011176824569702148,
104,P222,0,6.671939849853516,
105,P222,1,0.04395866394042969,
106,P222,2,0.043534040451049805,
107,P222,3,0.04293346405029297,
108,P402,0,0.04709029197692871,
109,P402,1,0.006103992462158203,
110,P402,2,0.005808353424072266,
111,P402,3,0.0045130252838134766,
112,P369,0,0.5322966575622559,
113,P369,1,0.02094244956970215,
114,P369,2,0.01976323127746582,
115,P369,3,0.01984572410583496,
116,P399,0,11.916481494903564,
117,P399,1,5.487978219985962,
118,P399,2,5.48310661315918,
